organism	habitat
Homo sapiens	Terrestrial
Escherichia coli	Host
Tardigrada (Water Bear)	Aquatic
Deinococcus radiodurans	Terrestrial
Drosophila melanogaster	Terrestrial
Saccharomyces cerevisiae	Terrestrial
Mus musculus	Terrestrial
Caenorhabditis elegans	Soil
Arabidopsis thaliana	Terrestrial
Danio rerio	Freshwater
Pan troglodytes	Terrestrial
Zea mays	Terrestrial
Tyrannosaurus rex	Terrestrial
Megalodon	Marine
SARS-CoV-2	Host
Octopus vulgaris	Marine
Sequoia sempervirens	Terrestrial
Ginkgo biloba	Terrestrial
Mammuthus primigenius	Terrestrial
Raphus cucullatus	Terrestrial
Smilodon fatalis	Terrestrial
Carcharodon carcharias	Marine
Balaenoptera musculus	Marine
Rafflesia arnoldii	Terrestrial
Cuculus canorus	Terrestrial
Physeter macrocephalus	Marine
Delphinus delphis	Marine
Chelonia mydas	Marine
Somniosus microcephalus	Marine
Hippocampus kuda	Marine
Mola mola	Marine
Aurelia aurita	Marine
Homarus americanus	Marine
