obs_date	station	air_temp_c	pressure_reading	daily_rain_mm
01-01-2012	Sunspire Dune	20.1	1010.2	0.08
02-01-2012	Sunspire Dune	20.1	1010.2	0.08
03-01-2012	Sunspire Dune	20.2	1010.3	0.09
04-01-2012	Sunspire Dune	20.2	1010.3	0.09
05-01-2012	Sunspire Dune	20.2	1010.3	0.09
06-01-2012	Sunspire Dune	20.3	1010.3	0.1
07-01-2012	Sunspire Dune	20.3	1010.4	0.1
08-01-2012	Sunspire Dune	20.4	1010.4	0.1
09-01-2012	Sunspire Dune	20.4	1010.4	0.1
10-01-2012	Sunspire Dune	20.5	1010.5	0.11
11-01-2012	Sunspire Dune	20.5	1010.5	0.11
12-01-2012	Sunspire Dune	20.5	1010.5	0.11
13-01-2012	Sunspire Dune	20.6	1010.5	0.11
14-01-2012	Sunspire Dune	20.6	1010.6	0.11
15-01-2012	Sunspire Dune	20.7	1010.6	0.12
16-01-2012	Sunspire Dune	20.7	1010.6	0.12
17-01-2012	Sunspire Dune	20.8	1010.6	0.12
18-01-2012	Sunspire Dune	20.8	1010.6	0.12
19-01-2012	Sunspire Dune	20.9	1010.7	0.12
20-01-2012	Sunspire Dune	20.9	1010.7	0.12
21-01-2012	Sunspire Dune	21.0	1010.7	0.12
22-01-2012	Sunspire Dune	21.1	1010.7	0.12
23-01-2012	Sunspire Dune	21.1	1010.7	0.12
24-01-2012	Sunspire Dune	21.2	1010.8	0.12
25-01-2012	Sunspire Dune	21.2	1010.8	0.12
26-01-2012	Sunspire Dune	21.3	1010.8	0.12
27-01-2012	Sunspire Dune	21.4	1010.8	0.12
28-01-2012	Sunspire Dune	21.4	1010.8	0.11
29-01-2012	Sunspire Dune	21.5	1010.8	0.11
30-01-2012	Sunspire Dune	21.6	1010.8	0.11
31-01-2012	Sunspire Dune	21.6	1010.8	0.11
01-02-2012	Sunspire Dune	21.7	1010.8	0.11
02-02-2012	Sunspire Dune	21.8	1010.8	0.11
03-02-2012	Sunspire Dune	21.9	1010.8	0.1
04-02-2012	Sunspire Dune	21.9	1010.9	0.1
05-02-2012	Sunspire Dune	22.0	1010.9	0.1
06-02-2012	Sunspire Dune	22.1	1010.9	0.09
07-02-2012	Sunspire Dune	22.2	1010.9	0.09
08-02-2012	Sunspire Dune	22.3	1010.9	0.09
09-02-2012	Sunspire Dune	22.4	1010.9	0.09
10-02-2012	Sunspire Dune	22.5	1010.9	0.08
11-02-2012	Sunspire Dune	22.6	1010.8	0.08
12-02-2012	Sunspire Dune	22.6	1010.8	0.08
13-02-2012	Sunspire Dune	22.7	1010.8	0.09
14-02-2012	Sunspire Dune	22.8	1010.8	0.09
15-02-2012	Sunspire Dune	23.0	1010.8	0.09
16-02-2012	Sunspire Dune	23.1	1010.8	0.1
17-02-2012	Sunspire Dune	23.2	1010.8	0.1
18-02-2012	Sunspire Dune	23.3	1010.8	0.1
19-02-2012	Sunspire Dune	23.4	1010.8	0.1
20-02-2012	Sunspire Dune	23.5	1010.8	0.11
21-02-2012	Sunspire Dune	23.6	1010.8	0.11
22-02-2012	Sunspire Dune	23.7	1010.7	0.11
23-02-2012	Sunspire Dune	23.9	1010.7	0.11
24-02-2012	Sunspire Dune	24.0	1010.7	0.11
25-02-2012	Sunspire Dune	24.1	1010.7	0.12
26-02-2012	Sunspire Dune	24.2	1010.7	0.12
27-02-2012	Sunspire Dune	24.4	1010.6	0.12
28-02-2012	Sunspire Dune	24.5	1010.6	0.12
29-02-2012	Sunspire Dune	24.7	1010.6	0.12
01-03-2012	Sunspire Dune	24.8	1010.6	0.12
