titel,year,group,score,size
Homo sapiens,1758,Mammal,9.3,3055000000
Escherichia coli,1885,Bacteria,9.2,4600000
Tardigrada (Water Bear),1773,Invertebrate,9.9,75000000
Deinococcus radiodurans,1956,Bacteria,9.8,3200000
Drosophila melanogaster,1830,Insect,8.9,139500000
Saccharomyces cerevisiae,1838,Fungi,9.0,12100000
Mus musculus,1758,Mammal,8.8,2725000000
Caenorhabditis elegans,1900,Nematode,9.0,100000000
Arabidopsis thaliana,1842,Plant,8.8,135000000
Danio rerio,1822,Fish,8.8,1460000000
Pan troglodytes,1775,Mammal,8.7,3050000000
Canis lupus familiaris,1758,Mammal,8.7,2400000000
Felis catus,1758,Mammal,8.6,2700000000
Gallus gallus,1758,Bird,8.6,1050000000
Xenopus laevis,1802,Amphibian,8.6,3100000000
Zea mays,1753,Plant,8.6,2300000000
Bos taurus,1758,Mammal,8.5,2700000000
Macaca mulatta,1780,Mammal,8.5,2870000000
Sus scrofa,1758,Mammal,8.5,2800000000
Oryza sativa,1753,Plant,8.5,430000000
Plasmodium falciparum,1897,Protozoa,8.4,23000000
Cavia porcellus,1758,Mammal,8.3,2800000000
Equus caballus,1758,Mammal,8.3,2470000000
Solanum lycopersicum,1753,Plant,8.3,900000000
Apis mellifera,1758,Insect,8.2,236000000
Ginkgo biloba,1771,Plant,8.5,10600000000
Ailuropoda melanoleuca,1869,Mammal,7.5,2400000000
Ornithorhynchus anatinus,1799,Mammal,8.0,1900000000
Tyrannosaurus rex,1905,Reptile,8.4,2100000000
Megalodon,1835,Cartilaginous Fish,8.2,3500000000
Paris japonica,1869,Plant,9.1,149000000000
Protopterus aethiopicus,1851,Fish,8.8,130000000000
SARS-CoV-2,2020,Virus,9.5,29903
Human immunodeficiency virus 1,1983,Virus,9.2,9749
Mycobacterium tuberculosis,1882,Bacteria,9.4,4400000
Helicobacter pylori,1983,Bacteria,9.0,1660000
Bacillus anthracis,1872,Bacteria,9.6,5200000
Gadus morhua,1758,Fish,7.8,830000000
Salmo salar,1758,Fish,7.9,2970000000
Latimeria chalumnae,1939,Fish,8.5,2180000000
Alligator mississippiensis,1801,Reptile,8.7,2800000000
Crocodylus porosus,1801,Reptile,8.9,2700000000
Sphenodon punctatus,1842,Reptile,8.2,5000000000
Struthio camelus,1758,Bird,8.5,1200000000
Columba livia,1789,Bird,8.8,1300000000
Aptenodytes forsteri,1844,Bird,8.4,1250000000
Eucalyptus grandis,1862,Plant,8.6,640000000
Sequoia sempervirens,1847,Plant,9.2,26500000000
Pinus taeda,1753,Plant,8.9,22000000000
Triticum aestivum,1753,Plant,8.8,17000000000
Hordeum vulgare,1753,Plant,8.5,5100000000
Solanum tuberosum,1753,Plant,8.7,844000000
Agaricus bisporus,1926,Fungi,8.3,30000000
Penicillium chrysogenum,1910,Fungi,8.9,32000000
Aspergillus niger,1901,Fungi,8.8,33900000
Octopus vulgaris,1798,Invertebrate,8.6,2700000000
Loligo pealeii,1821,Invertebrate,8.3,2800000000
Danaus plexippus,1758,Insect,8.1,273000000
Anopheles gambiae,1902,Insect,9.1,278000000
Aedes aegypti,1762,Insect,9.2,1380000000
Physeter macrocephalus,1758,Mammal,8.9,2800000000
Delphinus delphis,1758,Mammal,8.5,2400000000
Chelonia mydas,1758,Reptile,8.2,2200000000
Somniosus microcephalus,1801,Cartilaginous Fish,9.4,4700000000
Hippocampus kuda,1852,Fish,7.6,500000000
Mola mola,1758,Fish,8.1,730000000
Aurelia aurita,1758,Invertebrate,8.8,370000000
Homarus americanus,1837,Invertebrate,8.4,4500000000
