paper_id,title,year,field,citations,authors,journal_impact,country,open_access
P0001,A Study of Chemistry Trends 30,2014,Chemistry,9.0,9,2.58,Australia,False
P0002,The Future of Physics 56,2014,Physics,60.0,7,13.49,Germany,True
P0003,The Future of Physics 98,2023,Physics,,3,4.24,France,True
P0004,The Future of Chemistry 57,2017,Chemistry,18.0,10,5.77,UK,False
P0005,Impact of Computer Science on Society 89,2023,Computer Science,3.0,2,3.16,France,True
P0006,A Study of Biology Trends 4,2021,Biology,3.0,3,13.8,Brazil,True
P0007,Advances in Biology 42,2020,Biology,1.0,8,5.29,China,True
P0008,Advances in Biology 38,2011,Biology,40.0,10,,India,True
P0009,Challenges in Chemistry 48,2023,Chemistry,18.0,10,5.21,India,True
P0010,A Review of Physics Literature 19,2013,Physics,24.0,1,,Canada,True
P0011,New Methods in Chemistry 68,2012,Chemistry,0.0,9,1.45,India,True
P0012,A Review of Chemistry Literature 73,2014,Chemistry,70.0,9,2.14,Japan,True
P0013,Impact of Medicine on Society 22,2021,Medicine,35.0,2,7.44,Australia,True
P0014,Impact of Physics on Society 11,2017,Physics,,2,12.76,Australia,True
P0015,A Review of Medicine Literature 80,2022,Medicine,4.0,8,4.59,Canada,True
P0016,New Methods in Economics 64,2023,Economics,,3,5.55,UK,False
P0017,Impact of Physics on Society 30,2015,Physics,7.0,10,8.83,Canada,False
P0018,Empirical Analysis of Physics 82,2014,Physics,14.0,9,7.87,France,False
P0019,A Study of Physics Trends 59,2021,Physics,11.0,1,,Australia,True
P0020,A Study of Biology Trends 86,2016,Biology,6.0,7,10.86,Germany,True
P0021,Advances in Biology 60,2019,Biology,18.0,9,2.05,Canada,True
P0022,A Study of Medicine Trends 87,2020,Medicine,3.0,7,8.56,Canada,False
P0023,Experimental Medicine 21,2011,Medicine,6.0,6,1.53,UK,True
P0024,The Future of Physics 57,2013,Physics,9.0,1,4.88,USA,True
P0025,Challenges in Medicine 76,2017,Medicine,12.0,9,,Brazil,False
P0026,A Study of Biology Trends 82,2013,Biology,30.0,7,9.06,France,False
P0027,A Review of Chemistry Literature 89,2023,Chemistry,4.0,4,3.96,India,False
P0028,A Study of Chemistry Trends 59,2016,Chemistry,14.0,8,4.03,China,True
P0029,A Study of Chemistry Trends 26,2021,Chemistry,17.0,7,2.81,Germany,False
P0030,A Review of Medicine Literature 62,2017,Medicine,0.0,6,7.49,India,False
P0031,The Future of Economics 31,2022,Economics,18.0,10,1.46,Brazil,True
P0032,A Review of Biology Literature 74,2018,Biology,3.0,10,3.52,Brazil,False
P0033,Challenges in Economics 74,2023,Economics,1.0,2,10.56,UK,False
P0034,A Study of Medicine Trends 90,2015,Medicine,59.0,7,6.75,Japan,False
P0035,A Study of Computer Science Trends 3,2023,Computer Science,67.0,3,14.71,India,True
P0036,A Review of Sociology Literature 36,2010,Sociology,33.0,5,8.72,Canada,False
P0037,Advances in Sociology 73,2018,Sociology,7.0,8,5.46,UK,False
P0038,Advances in Physics 78,2022,Physics,2.0,4,10.56,India,False
P0039,Empirical Analysis of Sociology 37,2012,Sociology,23.0,2,,Japan,False
P0040,New Methods in Sociology 78,2011,Sociology,11.0,5,10.21,Germany,True
P0041,Challenges in Biology 29,2014,Biology,2.0,10,11.22,Germany,False
P0042,New Methods in Chemistry 80,2021,Chemistry,13.0,9,10.82,Japan,True
P0043,A Study of Economics Trends 87,2018,Economics,0.0,7,12.63,China,False
P0044,Impact of Computer Science on Society 81,2016,Computer Science,48.0,5,2.16,Brazil,False
P0045,The Future of Computer Science 81,2012,Computer Science,5.0,4,9.14,Canada,True
